,name,rating,reviews,salaries,interviews,jobs,benifits,photos
2240,TCS,3.8,73.1k,857.2k Salaries,6.1k Interviews,837 Jobs,11.5k Benefits,78 Photos
2241,Accenture,4.0,46.3k,584.8k Salaries,4.3k Interviews,9.8k Jobs,7.1k Benefits,39 Photos
2242,Cognizant,3.9,41.7k,561.6k Salaries,3.6k Interviews,471 Jobs,5.8k Benefits,63 Photos
2243,Wipro,3.8,39.1k,427.4k Salaries,3.7k Interviews,395 Jobs,5k Benefits,78 Photos
2244,Capgemini,3.9,34k,415.5k Salaries,2.8k Interviews,690 Jobs,4k Benefits,30 Photos
2245,HDFC Bank,3.9,33.9k,132.3k Salaries,1.5k Interviews,336 Jobs,3.2k Benefits,4 Photos
2246,ICICI Bank,4.0,33.5k,143.6k Salaries,1.8k Interviews,224 Jobs,3.7k Benefits,45 Photos
2247,Infosys,3.8,31.8k,462k Salaries,4.8k Interviews,1k Jobs,5.1k Benefits,85 Photos
2248,HCLTech,3.7,28.5k,293.3k Salaries,2.5k Interviews,414 Jobs,4.1k Benefits,35 Photos
2249,Tech Mahindra,3.7,27.6k,251.5k Salaries,2.4k Interviews,1.1k Jobs,3.6k Benefits,42 Photos
2250,Genpact,3.9,26.2k,190.5k Salaries,1.9k Interviews,759 Jobs,3.7k Benefits,35 Photos
2251,Axis Bank,3.9,22k,97.9k Salaries,1.1k Interviews,302 Jobs,2.2k Benefits,42 Photos
2252,Teleperformance,3.6,21.9k,84.1k Salaries,1.3k Interviews,406 Jobs,2k Benefits,29 Photos
2253,Concentrix Corporation,3.9,21.8k,105.3k Salaries,1.1k Interviews,115 Jobs,3.3k Benefits,30 Photos
2254,Jio,4.0,20.6k,67.4k Salaries,1.2k Interviews,162 Jobs,2.6k Benefits,40 Photos
2255,Amazon,4.1,20.4k,125.6k Salaries,3.4k Interviews,698 Jobs,4.2k Benefits,47 Photos
2256,IBM,4.1,19.7k,221.5k Salaries,1.5k Interviews,4k Jobs,2.7k Benefits,20 Photos
2257,Reliance Retail,3.9,18.7k,59.5k Salaries,1.1k Interviews,276 Jobs,2k Benefits,96 Photos
2258,HDB Financial Services,4.0,18.1k,50.5k Salaries,587 Interviews,81 Jobs,1.5k Benefits,31 Photos
2259,Larsen & Toubro Limited,4.0,16.6k,82k Salaries,1k Interviews,137 Jobs,2.9k Benefits,31 Photos
2260,TCS,3.8,73.1k,857.2k Salaries,6.1k Interviews,837 Jobs,11.5k Benefits,78 Photos
2261,Accenture,4.0,46.3k,584.8k Salaries,4.3k Interviews,9.8k Jobs,7.1k Benefits,39 Photos
2262,Cognizant,3.9,41.7k,561.6k Salaries,3.6k Interviews,471 Jobs,5.8k Benefits,63 Photos
2263,Wipro,3.8,39.1k,427.4k Salaries,3.7k Interviews,395 Jobs,5k Benefits,78 Photos
2264,Capgemini,3.9,34k,415.5k Salaries,2.8k Interviews,690 Jobs,4k Benefits,30 Photos
2265,HDFC Bank,3.9,33.9k,132.3k Salaries,1.5k Interviews,336 Jobs,3.2k Benefits,4 Photos
2266,ICICI Bank,4.0,33.5k,143.6k Salaries,1.8k Interviews,224 Jobs,3.7k Benefits,45 Photos
2267,Infosys,3.8,31.8k,462k Salaries,4.8k Interviews,1k Jobs,5.1k Benefits,85 Photos
2268,HCLTech,3.7,28.5k,293.3k Salaries,2.5k Interviews,414 Jobs,4.1k Benefits,35 Photos
2269,Tech Mahindra,3.7,27.6k,251.5k Salaries,2.4k Interviews,1.1k Jobs,3.6k Benefits,42 Photos
2270,Genpact,3.9,26.2k,190.5k Salaries,1.9k Interviews,759 Jobs,3.7k Benefits,35 Photos
2271,Axis Bank,3.9,22k,97.9k Salaries,1.1k Interviews,302 Jobs,2.2k Benefits,42 Photos
2272,Teleperformance,3.6,21.9k,84.1k Salaries,1.3k Interviews,406 Jobs,2k Benefits,29 Photos
2273,Concentrix Corporation,3.9,21.8k,105.3k Salaries,1.1k Interviews,115 Jobs,3.3k Benefits,30 Photos
2274,Jio,4.0,20.6k,67.4k Salaries,1.2k Interviews,162 Jobs,2.6k Benefits,40 Photos
2275,Amazon,4.1,20.4k,125.6k Salaries,3.4k Interviews,698 Jobs,4.2k Benefits,47 Photos
2276,IBM,4.1,19.7k,221.5k Salaries,1.5k Interviews,4k Jobs,2.7k Benefits,20 Photos
2277,Reliance Retail,3.9,18.7k,59.5k Salaries,1.1k Interviews,276 Jobs,2k Benefits,96 Photos
2278,HDB Financial Services,4.0,18.1k,50.5k Salaries,587 Interviews,81 Jobs,1.5k Benefits,31 Photos
2279,Larsen & Toubro Limited,4.0,16.6k,82k Salaries,1k Interviews,137 Jobs,2.9k Benefits,31 Photos
2280,TCS,3.8,73.1k,857.2k Salaries,6.1k Interviews,837 Jobs,11.5k Benefits,78 Photos
2281,Accenture,4.0,46.3k,584.8k Salaries,4.3k Interviews,9.8k Jobs,7.1k Benefits,39 Photos
